user_id,date,category,amount,merchant
sample-user,2026-04-03,외식비,42000,점심식사
sample-user,2026-04-08,쇼핑비,128000,온라인쇼핑
sample-user,2026-04-12,구독비,17000,음악구독
sample-user,2026-04-18,교통비,55000,대중교통
sample-user,2026-04-25,외식비,73000,저녁식사
sample-user,2026-05-02,쇼핑비,210000,생활용품
sample-user,2026-05-07,구독비,17000,음악구독
sample-user,2026-05-11,외식비,39000,카페
sample-user,2026-05-16,교통비,61000,대중교통
sample-user,2026-05-24,쇼핑비,146000,의류
sample-user,2026-06-01,외식비,58000,점심식사
sample-user,2026-06-06,구독비,17000,음악구독
sample-user,2026-06-10,교통비,58000,대중교통
sample-user,2026-06-15,쇼핑비,184000,온라인쇼핑
sample-user,2026-06-19,외식비,68000,저녁식사
